month,money_supply_m2_billion_rp
2015-01-01,4174825.91
2015-02-01,4218122.76
2015-03-01,4246361.19
2015-04-01,4275711.11
2015-05-01,4288369.26
2015-06-01,4358801.51
2015-07-01,4373208.1
2015-08-01,4404085.03
2015-09-01,4508603.17
2015-10-01,4443078.08
2015-11-01,4452324.65
2015-12-01,4548800.27
2016-01-01,4498361.28
2016-02-01,4521951.2
2016-03-01,4561872.52
2016-04-01,4581877.87
2016-05-01,4614061.82
2016-06-01,4737451.23
2016-07-01,4730379.68
2016-08-01,4746026.68
2016-09-01,4737630.76
2016-10-01,4778478.89
2016-11-01,4868651.16
2016-12-01,5004976.79
2017-01-01,4936881.99
2017-02-01,4942919.76
2017-03-01,5017643.55
2017-04-01,5033780.29
2017-05-01,5125383.79
2017-06-01,5225165.76
2017-07-01,5178078.75
2017-08-01,5219647.63
2017-09-01,5254138.51
2017-10-01,5284320.16
2017-11-01,5321431.77
2017-12-01,5419165.05
2018-01-01,5351684.67
2018-02-01,5351650.33
2018-03-01,5395826.04
2018-04-01,5409088.81
2018-05-01,5435082.93
2018-06-01,5534149.83
2018-07-01,5507791.75
2018-08-01,5529451.81
2018-09-01,5606779.89
2018-10-01,5667512.1
2018-11-01,5670975.24
2018-12-01,5760046.2
2019-01-01,5644985.0
2019-02-01,5670778.0
2019-03-01,5747247.0
2019-04-01,5746732.0
2019-05-01,5860509.0
2019-06-01,5908509.0
2019-07-01,5941133.0
2019-08-01,5934562.0
2019-09-01,6134178.0
2019-10-01,6026908.0
2019-11-01,6074377.0
2019-12-01,6136552.0
2020-01-01,6046651.0
2020-02-01,6116495.0
2020-03-01,6440457.39
2020-04-01,6238267.0
2020-05-01,6468193.5
2020-06-01,6393743.8
2020-07-01,6567725.02
2020-08-01,6726135.25
2020-09-01,6748574.03
2020-10-01,6780844.54
2020-11-01,6817456.68
2020-12-01,6900049.49
2021-01-01,6767407.65
2021-02-01,6817787.91
2021-03-01,6895564.12
2021-04-01,6964386.49
2021-05-01,7004093.08
2021-06-01,7130061.42
2021-07-01,7160560.33
2021-08-01,7211500.72
2021-09-01,7300920.64
2021-10-01,7491704.38
2021-11-01,7573319.9
2021-12-01,7870452.85
2022-01-01,7646789.19
2022-02-01,7690134.5
2022-03-01,7810949.32
2022-04-01,7911484.49
2022-05-01,7854186.71
2022-06-01,7890747.01
2022-07-01,7845551.91
2022-08-01,7897628.21
2022-09-01,7962693.36
2022-10-01,8223055.02
2022-11-01,8297349.51
2022-12-01,8528022.31
2023-01-01,8271838.1
2023-02-01,8300648.37
2023-03-01,8293283.23
2023-04-01,8352349.68
2023-05-01,8336170.79
2023-06-01,8372990.32
2023-07-01,8349492.32
2023-08-01,8364739.0
2023-09-01,8441236.44
2023-10-01,8506544.06
2023-11-01,8574917.1
2023-12-01,8826531.0
2024-01-01,8721949.69
2024-02-01,8739574.29
2024-03-01,8891424.62
2024-04-01,8926465.56
2024-05-01,8968821.11
2024-06-01,9015355.05
2024-07-01,8983383.35
2024-08-01,8975511.86
2024-09-01,9047998.7
2024-10-01,9082755.11
2024-11-01,9175750.66
2024-12-01,9210815.72
2025-01-01,9198352.34
2025-02-01,9281079.29
2025-03-01,9436700.45
2025-04-01,9387895.19
2025-05-01,9404299.89
2025-06-01,9595253.6
2025-07-01,9574893.28
2025-08-01,9654347.48
2025-09-01,9773409.97
2025-10-01,9783069.71
2025-11-01,9891575.05
2025-12-01,
